asin,name,brand,url,price,price_reduced,rating,review_count,availability,category,bullet_points,description,product_dimensions,product_specifications,product_weight,main_image_url,whats_in_box,variant_data
B0732FTGM9,"Rebuild Skills UL1007 22 AWG Gauge Stranded Hook-Up Wire, 300V (100 Ft, Black)",Qualitech,https://www.amazon.com/dp/B0732FTGM9/,,,4.6,7,False,Tools & Home Improvement; Electrical; Electrical Wire,,,"""""","[{""name"": ""IsDiscontinuedByManufacturer"", ""value"": ""No""}, {""name"": ""PackageDimensions"", ""value"": ""6.1x4.5x2.1inches;7.2ounces""}, {""name"": ""DateFirstAvailable"", ""value"": ""June21,2017""}, {""name"": ""ASIN"", ""value"": ""B0732FTGM9""}]",,https://m.media-amazon.com/images/I/61aC7hfIDoL._AC_SL1500.jpg,,{}
B000PALRY8,Southwire 55669023 Primary Wire; 14-Gauge Bulk Spool; 100-Feet; White,Southwire,https://www.amazon.com/dp/B000PALRY8/,28.06,,4.7,2285,True,Tools & Home Improvement; Electrical; Electrical Wire,100-Feet of single strand primary wire; Pvc outer-jacket resists water; oil; chemicals and abrasion; Suitable for projects on cars; trucks; boats; Handy spool size is convenient for many different projects,,"""3.5 x 3.5 x 3.5 inches""","[{""name"": ""Color"", ""value"": ""White""}, {""name"": ""Brand"", ""value"": ""Southwire""}, {""name"": ""Material"", ""value"": ""Copper""}, {""name"": ""Number of Cable Strands"", ""value"": ""Single Strand""}, {""name"": ""Gauge"", ""value"": ""10_gauge""}, {""name"": ""No. of wires"", ""value"": ""1""}, {""name"": ""Manufacturer"", ""value"": ""Coleman Cable""}, {""name"": ""Global Trade Identification Number"", ""value"": ""00032886852664""}, {""name"": ""UPC"", ""value"": ""032886852664""}, {""name"": ""Part Number"", ""value"": ""55669023""}, {""name"": ""Item Weight"", ""value"": ""1.7 pounds""}, {""name"": ""Product Dimensions"", ""value"": ""3.5 x 3.5 x 3.5 inches""}, {""name"": ""Item model number"", ""value"": ""55669023""}, {""name"": ""Is Discontinued By Manufacturer"", ""value"": ""No""}, {""name"": ""Size"", ""value"": ""14-Gauge""}, {""name"": ""Style"", ""value"": ""ElectronicWire""}, {""name"": ""Item Package Quantity"", ""value"": ""1""}, {""name"": ""Measurement System"", ""value"": ""Metric""}, {""name"": ""Included Components"", ""value"": ""Welding Wire""}, {""name"": ""Batteries Included?"", ""value"": ""No""}, {""name"": ""Batteries Required?"", ""value"": ""No""}, {""name"": ""Warranty Description"", ""value"": ""One Year Limited Warranty""}, {""name"": ""ASIN"", ""value"": ""B000PALRY8""}, {""name"": ""Customer Reviews"", ""value"": ""4.7  4.7 out of 5 stars    \n    2,285 ratings   \n\n\n 4.7 out of 5 stars""}, {""name"": ""Best Sellers Rank"", ""value"": ""#11,910 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #55 in Electrical Wire""}, {""name"": ""Date First Available"", ""value"": ""August 17, 2005""}]",1.7 pounds,https://m.media-amazon.com/images/I/51sIUTncyKL._AC_SL1500.jpg,,"{""size_name"": [{""name"": ""10-Gauge"", ""in_stock"": true, ""asin"": ""B000HAENFQ"", ""url"": ""https://www.amazon.com/dp/B000HAENFQ"", ""selected"": true}, {""name"": ""12-Gauge"", ""in_stock"": true, ""asin"": ""B016RWSKMY"", ""url"": ""https://www.amazon.com/dp/B016RWSKMY"", ""selected"": true}, {""name"": ""14-Gauge"", ""in_stock"": true, ""asin"": ""B000PALRY8"", ""url"": ""https://www.amazon.com/dp/B000PALRY8"", ""selected"": true}, {""name"": ""16-Gauge"", ""in_stock"": true, ""asin"": ""B000PAPQCW"", ""url"": ""https://www.amazon.com/dp/B000PAPQCW"", ""selected"": true}], ""color_name"": [{""name"": ""Black"", ""in_stock"": true, ""asin"": ""B000PANY2G"", ""url"": ""https://www.amazon.com/dp/B000PANY2G"", ""selected"": true}, {""name"": ""Blue"", ""in_stock"": true, ""asin"": ""B003J636PI"", ""url"": ""https://www.amazon.com/dp/B003J636PI"", ""selected"": true}, {""name"": ""Green"", ""in_stock"": true, ""asin"": ""B000HACYRK"", ""url"": ""https://www.amazon.com/dp/B000HACYRK"", ""selected"": true}, {""name"": ""Red"", ""in_stock"": true, ""asin"": ""B018PLW93G"", ""url"": ""https://www.amazon.com/dp/B018PLW93G"", ""selected"": true}, {""name"": ""White"", ""in_stock"": true, ""asin"": ""B000PALRY8"", ""url"": ""https://www.amazon.com/dp/B000PALRY8"", ""selected"": true}, {""name"": ""Yellow"", ""in_stock"": true, ""asin"": ""B000PAPZFA"", ""url"": ""https://www.amazon.com/dp/B000PAPZFA"", ""selected"": true}, {""name"": ""white"", ""in_stock"": true, ""asin"": ""B000HAB7P0"", ""url"": ""https://www.amazon.com/dp/B000HAB7P0"", ""selected"": true}]}"
B01F3H0ZGS,YXQ P/N B-30-1000 30AWG Tin Plated Copper Wire Wrapping Wire Cable Reel Black 305M,YXQ,https://www.amazon.com/dp/B01F3H0ZGS/,9.99,,4.4,111,True,Tools & Home Improvement; Electrical; Electrical Wire,"Product Name : Wrapping Wire;Model : P/N B-30-1000;Type : 30AWG; Wire Size : 0.5 x 0.25mm / 0.019"" x 0.009""(OD*Wire Dia.);Cable Length(Approx.) : 305M / 1000Ft; Temperature Rating : 105 Celsius;Reel Size : 7 x 3.3cm/ 2.7"" x 1.3""(D*H); Material : Plastic, PVC, Tin Plated Copper;External Color : Black, White; Weight : 153g;Package : 1 x Wrapping Wire",,"""""","[{""name"": ""Color"", ""value"": ""Black""}, {""name"": ""Brand"", ""value"": ""YXQ""}, {""name"": ""Material"", ""value"": ""Copper""}, {""name"": ""Gauge"", ""value"": ""30""}, {""name"": ""No. of wires"", ""value"": ""1""}, {""name"": ""Manufacturer"", ""value"": ""YXQ""}, {""name"": ""UPC"", ""value"": ""709112927495""}, {""name"": ""Part Number"", ""value"": ""LMT0519001""}, {""name"": ""Item Weight"", ""value"": ""5.6 ounces""}, {""name"": ""Package Dimensions"", ""value"": ""4.1 x 3.4 x 1.4 inches""}, {""name"": ""Is Discontinued By Manufacturer"", ""value"": ""No""}, {""name"": ""Size"", ""value"": ""1000 Feet""}, {""name"": ""Number Of Pieces"", ""value"": ""1""}, {""name"": ""Batteries Included?"", ""value"": ""No""}, {""name"": ""Batteries Required?"", ""value"": ""No""}, {""name"": ""ASIN"", ""value"": ""B01F3H0ZGS""}, {""name"": ""Customer Reviews"", ""value"": ""4.4  4.4 out of 5 stars    \n    111 ratings   \n\n\n 4.4 out of 5 stars""}, {""name"": ""Best Sellers Rank"", ""value"": ""#156,064 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #803 in Electrical Wire""}, {""name"": ""Date First Available"", ""value"": ""May 3, 2016""}]",5.6 ounces,https://m.media-amazon.com/images/I/71ytSYADbKL._AC_SL1500.jpg,,"{""color_name"": [{""name"": ""8 colors"", ""in_stock"": true, ""asin"": ""B01MED56BI"", ""url"": ""https://www.amazon.com/dp/B01MED56BI"", ""selected"": true}, {""name"": ""Black"", ""in_stock"": true, ""asin"": ""B01F3H0ZGS"", ""url"": ""https://www.amazon.com/dp/B01F3H0ZGS"", ""selected"": true}, {""name"": ""Blue"", ""in_stock"": true, ""asin"": ""B015L1HVQS"", ""url"": ""https://www.amazon.com/dp/B015L1HVQS"", ""selected"": true}, {""name"": ""Green"", ""in_stock"": true, ""asin"": ""B01MDKIJFP"", ""url"": ""https://www.amazon.com/dp/B01MDKIJFP"", ""selected"": true}, {""name"": ""Orange"", ""in_stock"": true, ""asin"": ""B01F58UBCI"", ""url"": ""https://www.amazon.com/dp/B01F58UBCI"", ""selected"": true}, {""name"": ""Purple"", ""in_stock"": true, ""asin"": ""B01EWHSFL2"", ""url"": ""https://www.amazon.com/dp/B01EWHSFL2"", ""selected"": true}, {""name"": ""Red"", ""in_stock"": true, ""asin"": ""B01M6V1CYG"", ""url"": ""https://www.amazon.com/dp/B01M6V1CYG"", ""selected"": true}, {""name"": ""White"", ""in_stock"": true, ""asin"": ""B01MDKIL5N"", ""url"": ""https://www.amazon.com/dp/B01MDKIL5N"", ""selected"": true}, {""name"": ""yellow"", ""in_stock"": true, ""asin"": ""B01EV1YWHA"", ""url"": ""https://www.amazon.com/dp/B01EV1YWHA"", ""selected"": true}]}"
